year,month,vns,vnstodate
2018,1,15,15
2018,2,15,30
2018,3,21,51
2018,4,21,72
2018,5,31,103
2018,6,32,135
2018,7,23,158
2018,8,36,194
2018,9,29,223
2018,10,33,256
2018,11,23,279
2018,12,19,298
2019,1,31,31
2019,2,28,59
2019,3,26,85
2019,4,19,104
2019,5,30,134
2019,6,29,163
2019,7,25,188
2019,8,16,204
2019,9,30,234
2019,10,31,265
2019,11,14,279
2019,12,14,293
2020,1,21,21
2020,2,16,37
2020,3,17,54
2020,4,12,66
2020,5,8,74
2020,6,21,95
2020,7,13,108
2020,8,23,131
2020,9,35,166
2020,10,19,185
2020,11,8,193
2020,12,19,212
2021,1,8,8
2021,2,12,20
2021,3,13,33
2021,4,11,44
2021,5,29,73
2021,6,26,99
2021,7,17,116
2021,8,25,141
2021,9,35,176
2021,10,25,201
2021,11,17,218
2021,12,12,230
2022,1,11,11
2022,2,9,20
2022,3,14,34
2022,4,16,50
2022,5,56,106
2022,6,32,138
2022,7,20,158
2022,8,38,196
2022,9,40,236
2022,10,31,267
2022,11,15,282
2022,12,15,297
2023,1,15,15
2023,2,12,27
2023,3,26,53
2023,4,18,71
2023,5,32,103
2023,6,21,124
2023,7,27,151
2023,8,19,170
2023,9,9,179